round,command,damage,player_hp,boss_hp,winner,note
1,fight,24,9,26,,hit+counter
2,poison,2,7,26,,1 turns left
2,defend,0,7,26,,cleared 1 poison
3,fight,18,0,8,,hit+counter
4,end,0,0,8,Dragon,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,22,11,28,,hit+counter
4,poison,2,9,28,,1 turns left
4,defend,0,9,28,,cleared 1 poison
5,fight,0,9,28,,miss
6,fight,0,9,28,,miss
7,fight,0,9,28,,miss
8,fight,0,9,28,,miss
9,fight,19,0,9,,hit+counter
10,end,0,0,9,Dragon,

1,fight,7,20,43,,hit
2,fight,0,20,43,,miss
3,fight,7,20,36,,hit
4,fight,10,20,26,,hit
5,fight,20,9,6,,hit+counter
6,fight,21,9,0,,hit
7,end,0,9,0,player,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,0,20,50,,miss
4,fight,0,20,50,,miss
5,fight,0,20,50,,miss
6,fight,0,20,50,,miss
7,fight,0,20,50,,miss
8,fight,17,9,33,,hit+counter
9,poison,2,7,33,,1 turns left
9,defend,0,7,33,,cleared 1 poison
10,fight,14,0,19,,hit+counter
11,end,0,0,19,Dragon,

1,fight,0,20,50,,miss
2,fight,22,9,28,,hit+counter
3,poison,2,7,28,,1 turns left
3,defend,0,7,28,,cleared 1 poison
4,fight,13,0,15,,hit+counter
5,end,0,0,15,Dragon,

1,fight,0,20,50,,miss
2,fight,15,11,35,,hit+counter
3,fight,16,0,19,,hit+counter
4,end,0,0,19,Dragon,

1,fight,12,20,38,,hit
2,fight,12,20,26,,hit
3,fight,24,13,2,,hit+counter
4,poison,2,11,2,,1 turns left
4,defend,0,11,2,,cleared 1 poison
5,fight,23,11,0,,hit
6,end,0,11,0,player,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,0,20,50,,miss
4,fight,0,20,50,,miss
5,fight,0,20,50,,miss
6,fight,25,8,25,,hit+counter
7,poison,2,6,25,,1 turns left
7,defend,0,6,25,,cleared 1 poison
8,fight,0,6,25,,miss
9,fight,0,6,25,,miss
10,fight,0,6,25,,miss
11,fight,19,0,6,,hit+counter
12,end,0,0,6,Dragon,

1,fight,0,20,50,,miss
2,fight,15,12,35,,hit+counter
3,poison,2,10,35,,1 turns left
3,defend,0,10,35,,cleared 1 poison
4,fight,20,0,15,,hit+counter
5,end,0,0,15,Dragon,

1,fight,13,8,37,,hit+counter
2,fight,0,8,37,,miss
3,fight,0,8,37,,miss
4,fight,7,8,30,,hit
5,fight,0,8,30,,miss
6,fight,0,8,30,,miss
7,fight,0,8,30,,miss
8,fight,25,0,5,,hit+counter
9,end,0,0,5,Dragon,

1,fight,11,20,39,,hit
2,fight,18,9,21,,hit+counter
3,poison,2,7,21,,1 turns left
3,defend,0,7,21,,cleared 1 poison
4,fight,19,0,2,,hit+counter
5,end,0,0,2,Dragon,

1,fight,0,20,50,,miss
2,fight,9,20,41,,hit
3,fight,0,20,41,,miss
4,fight,18,11,23,,hit+counter
5,fight,9,11,14,,hit
6,fight,13,4,1,,hit+counter
7,poison,2,2,1,,1 turns left
7,defend,0,2,1,,cleared 1 poison
8,fight,0,2,1,,miss
9,fight,0,2,1,,miss
10,fight,22,2,0,,hit
11,end,0,2,0,player,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,0,20,50,,miss
4,fight,0,20,50,,miss
5,fight,21,8,29,,hit+counter
6,poison,2,6,29,,1 turns left
6,defend,0,6,29,,cleared 1 poison
7,fight,6,6,23,,hit
8,fight,20,0,3,,hit+counter
9,end,0,0,3,Dragon,

1,fight,18,10,32,,hit+counter
2,poison,2,8,32,,1 turns left
2,defend,0,8,32,,cleared 1 poison
3,fight,0,8,32,,miss
4,fight,0,8,32,,miss
5,fight,0,8,32,,miss
6,fight,10,8,22,,hit
7,fight,0,8,22,,miss
8,fight,16,0,6,,hit+counter
9,end,0,0,6,Dragon,

1,fight,16,9,34,,hit+counter
2,poison,2,7,34,,1 turns left
2,defend,0,7,34,,cleared 1 poison
3,fight,0,7,34,,miss
4,fight,0,7,34,,miss
5,fight,21,0,13,,hit+counter
6,end,0,0,13,Dragon,

1,fight,15,11,35,,hit+counter
2,fight,21,0,14,,hit+counter
3,end,0,0,14,Dragon,

1,fight,0,20,50,,miss
2,fight,17,8,33,,hit+counter
3,poison,2,6,33,,1 turns left
3,defend,0,6,33,,cleared 1 poison
4,fight,19,0,14,,hit+counter
5,end,0,0,14,Dragon,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,10,20,40,,hit
4,fight,11,20,29,,hit
5,fight,0,20,29,,miss
6,fight,0,20,29,,miss
7,fight,0,20,29,,miss
8,fight,23,9,6,,hit+counter
9,fight,0,9,6,,miss
10,fight,0,9,6,,miss
11,fight,0,9,6,,miss
12,fight,18,9,0,,hit
13,end,0,9,0,player,

1,fight,13,11,37,,hit+counter
2,poison,2,9,37,,1 turns left
2,defend,0,9,37,,cleared 1 poison
3,fight,0,9,37,,miss
4,fight,0,9,37,,miss
5,fight,18,0,19,,hit+counter
6,end,0,0,19,Dragon,

1,fight,0,20,50,,miss
2,fight,6,20,44,,hit
3,fight,13,9,31,,hit+counter
4,fight,0,9,31,,miss
5,fight,0,9,31,,miss
6,fight,13,0,18,,hit+counter
7,end,0,0,18,Dragon,

1,fight,20,13,30,,hit+counter
2,fight,0,13,30,,miss
3,fight,20,6,10,,hit+counter
4,poison,2,4,10,,1 turns left
4,defend,0,4,10,,cleared 1 poison
5,fight,21,4,0,,hit
6,end,0,4,0,player,

1,fight,15,11,35,,hit+counter
2,fight,0,11,35,,miss
3,fight,14,1,21,,hit+counter
4,poison,2,0,21,,1 turns left
4,end,0,0,21,Dragon,

1,fight,0,20,50,,miss
2,fight,16,9,34,,hit+counter
3,poison,2,7,34,,1 turns left
3,defend,0,7,34,,cleared 1 poison
4,fight,0,7,34,,miss
5,fight,0,7,34,,miss
6,fight,22,0,12,,hit+counter
7,end,0,0,12,Dragon,

1,fight,6,20,44,,hit
2,fight,25,9,19,,hit+counter
3,poison,2,7,19,,1 turns left
3,defend,0,7,19,,cleared 1 poison
4,fight,0,7,19,,miss
5,fight,0,7,19,,miss
6,fight,11,7,8,,hit
7,fight,0,7,8,,miss
8,fight,0,7,8,,miss
9,fight,19,7,0,,hit
10,end,0,7,0,player,

1,fight,11,20,39,,hit
2,fight,0,20,39,,miss
3,fight,0,20,39,,miss
4,fight,0,20,39,,miss
5,fight,0,20,39,,miss
6,fight,0,20,39,,miss
7,fight,13,8,26,,hit+counter
8,poison,2,6,26,,1 turns left
8,defend,0,6,26,,cleared 1 poison
9,fight,14,0,12,,hit+counter
10,end,0,0,12,Dragon,

1,fight,17,8,33,,hit+counter
2,poison,2,6,33,,1 turns left
2,defend,0,6,33,,cleared 1 poison
3,fight,19,0,14,,hit+counter
4,end,0,0,14,Dragon,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,6,20,44,,hit
4,fight,16,11,28,,hit+counter
5,poison,2,9,28,,1 turns left
5,defend,0,9,28,,cleared 1 poison
6,fight,17,1,11,,hit+counter
7,poison,2,0,11,,1 turns left
7,end,0,0,11,Dragon,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,15,10,35,,hit+counter
4,poison,2,8,35,,1 turns left
4,defend,0,8,35,,cleared 1 poison
5,fight,0,8,35,,miss
6,fight,0,8,35,,miss
7,fight,25,0,10,,hit+counter
8,end,0,0,10,Dragon,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,17,9,33,,hit+counter
4,poison,2,7,33,,1 turns left
4,defend,0,7,33,,cleared 1 poison
5,fight,0,7,33,,miss
6,fight,0,7,33,,miss
7,fight,0,7,33,,miss
8,fight,23,0,10,,hit+counter
9,end,0,0,10,Dragon,

1,fight,22,13,28,,hit+counter
2,fight,25,4,3,,hit+counter
3,fight,0,4,3,,miss
4,fight,9,4,0,,hit
5,end,0,4,0,player,

1,fight,0,20,50,,miss
2,fight,23,11,27,,hit+counter
3,poison,2,9,27,,1 turns left
3,defend,0,9,27,,cleared 1 poison
4,fight,0,9,27,,miss
5,fight,25,0,2,,hit+counter
6,end,0,0,2,Dragon,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,0,20,50,,miss
4,fight,16,13,34,,hit+counter
5,poison,2,11,34,,1 turns left
5,defend,0,11,34,,cleared 1 poison
